"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка отсутствия успешной авторизации при заполнении некорректного значения в поле Username","794","checkLoginWithEmptyUsername","SauceDemo Smoke Test","Fri Oct 31 19:24:12 UTC 2025","passed","Fri Oct 31 19:24:12 UTC 2025","tests.LoginTest","Firefox","tests.LoginTest","checkLoginWithEmptyUsername"
"Проверка невалидного заполнения поля Zip/Postal Code при оформлении заказа","1104","invalideFillingZipcode","SauceDemo Smoke Test","Fri Oct 31 19:23:53 UTC 2025","passed","Fri Oct 31 19:23:54 UTC 2025","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","invalideFillingZipcode"
"Проверка валидного заполнения персональных данных при оформлени заказа","1540","valideFilling","SauceDemo Smoke Test","Fri Oct 31 19:23:55 UTC 2025","passed","Fri Oct 31 19:23:56 UTC 2025","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","valideFilling"
"Проверка отсутствия успешной авторизации при заполнении некорректного значения в поле Password","731","checkLoginWithEmptyPassword","SauceDemo Smoke Test","Fri Oct 31 19:24:18 UTC 2025","passed","Fri Oct 31 19:24:19 UTC 2025","tests.LoginTest","Firefox","tests.LoginTest","checkLoginWithEmptyPassword"
"Проверка невалидного заполнения поля First Name при оформлении заказа","979","invalideFillingFirstName","SauceDemo Smoke Test","Fri Oct 31 19:23:48 UTC 2025","passed","Fri Oct 31 19:23:49 UTC 2025","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","invalideFillingFirstName"
"Проверка валидного заполнения персональных данных при оформлени заказа","1036","valideFilling","SauceDemo Smoke Test","Fri Oct 31 19:23:44 UTC 2025","passed","Fri Oct 31 19:23:45 UTC 2025","tests.CheckoutInformationTest","Chrome","tests.CheckoutInformationTest","valideFilling"
"Проверка отсутствия успешной авторизации при отсутствии заполнения полей Username/Password","594","checkInvalideLogin","SauceDemo Smoke Test","Fri Oct 31 19:23:49 UTC 2025","passed","Fri Oct 31 19:23:50 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkInvalideLogin"
"Проверка успешной авторизации в приложение","819","checkSuccessTest","SauceDemo Smoke Test","Fri Oct 31 19:23:59 UTC 2025","passed","Fri Oct 31 19:23:59 UTC 2025","tests.LoginTest","Firefox","tests.LoginTest","checkSuccessTest"
"Проверка невалидного заполнения поля Last Name при оформлении заказа","1196","invalideFillingLastName","SauceDemo Smoke Test","Fri Oct 31 19:24:08 UTC 2025","passed","Fri Oct 31 19:24:09 UTC 2025","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","invalideFillingLastName"
"Проверка успешного добавления товара в корзину в количестве 1 единицы","1634","addItemInBasketTest","SauceDemo Smoke Test","Fri Oct 31 19:23:41 UTC 2025","passed","Fri Oct 31 19:23:43 UTC 2025","tests.AddItemInBasketTest","Firefox","tests.AddItemInBasketTest","addItemInBasketTest"
"Проверка невалидного заполнения поля First Name при оформлении заказа","1097","invalideFillingFirstName","SauceDemo Smoke Test","Fri Oct 31 19:24:02 UTC 2025","passed","Fri Oct 31 19:24:03 UTC 2025","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","invalideFillingFirstName"
"Проверка отсутствия успешной авторизации при заполнении некорректного значения в поле Username","482","checkLoginWithEmptyUsername","SauceDemo Smoke Test","Fri Oct 31 19:23:52 UTC 2025","passed","Fri Oct 31 19:23:53 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyUsername"
"Проверка невалидного заполнения поля Zip/Postal Code при оформлении заказа","1146","invalideFillingZipcode","SauceDemo Smoke Test","Fri Oct 31 19:24:15 UTC 2025","passed","Fri Oct 31 19:24:16 UTC 2025","tests.CheckoutInformationTest","Firefox","tests.CheckoutInformationTest","invalideFillingZipcode"
